n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
1000,10000,0,postgres,load,2.6159,125.21
1000,10000,0,postgres,query1,0.1742,130.14
1000,10000,0,postgres,query2,0.013,127.52
1000,10000,0,postgres,query3,0.0698,127.52
1000,10000,0,postgres,query4,0.002,127.52
1000,10000,0,mongodb,load,0.5444,130.38
1000,10000,0,mongodb,query1_lookup,2.3164,132.58
1000,10000,0,mongodb,query2,0.0937,132.58
1000,10000,0,mongodb,query3,0.0094,132.58
1000,10000,0,mongodb,query4,0.0041,132.58
1000,10000,0,neo4j,load,4.1206,132.52
1000,10000,0,neo4j,query1,0.014,132.52
1000,10000,0,neo4j,query2,0.0129,132.52
1000,10000,0,spark_doc,query2,1.7,133.47
1000,10000,0,spark_graph,pagerank,7.7884,143.27
1000,10000,0,spark_graph,connected_components,1.1219,143.27
1000,10000,2,postgres,load,5.4192,154.01
1000,10000,2,postgres,query1,0.2077,154.91
1000,10000,2,postgres,query2,0.012,155.29
1000,10000,2,postgres,query3,0.1047,155.29
1000,10000,2,postgres,query4,0.1281,155.29
1000,10000,2,mongodb,load,5.5946,162.02
1000,10000,2,mongodb,query1_lookup,2.7654,162.59
1000,10000,2,mongodb,query2,0.2289,162.6
1000,10000,2,mongodb,query3,0.0309,162.6
1000,10000,2,mongodb,query4,0.05,162.3
1000,10000,2,neo4j,load,3.2758,162.18
1000,10000,2,neo4j,query1,0.1921,162.18
1000,10000,2,neo4j,query2,0.013,162.18
1000,10000,2,spark_doc,query2,0.4132,162.3
1000,10000,2,spark_graph,pagerank,4.7886,162.16
1000,10000,2,spark_graph,connected_components,0.8951,162.16
1000,10000,5,postgres,load,11.1425,171.88
1000,10000,5,postgres,query1,0.19,171.88
1000,10000,5,postgres,query2,0.0114,171.88
1000,10000,5,postgres,query3,0.1141,171.88
1000,10000,5,postgres,query4,0.2056,171.89
1000,10000,5,mongodb,load,6.0128,177.36
1000,10000,5,mongodb,query1_lookup,1.8596,179.27
1000,10000,5,mongodb,query2,0.2,179.27
1000,10000,5,mongodb,query3,0.0221,179.27
1000,10000,5,mongodb,query4,0.1129,179.27
1000,10000,5,neo4j,load,2.9334,178.13
1000,10000,5,neo4j,query1,0.0111,178.13
1000,10000,5,neo4j,query2,0.009,178.13
1000,10000,5,spark_doc,query2,0.3929,178.29
1000,10000,5,spark_graph,pagerank,4.0691,178.13
1000,10000,5,spark_graph,connected_components,0.928,178.13
1000,10000,10,postgres,load,18.5081,198.48
1000,10000,10,postgres,query1,0.1936,198.51
1000,10000,10,postgres,query2,0.0123,198.51
1000,10000,10,postgres,query3,0.1024,198.51
1000,10000,10,postgres,query4,0.287,198.51
1000,10000,10,mongodb,load,6.1353,199.38
1000,10000,10,mongodb,query1_lookup,2.6931,199.39
1000,10000,10,mongodb,query2,0.2342,199.4
1000,10000,10,mongodb,query3,0.0248,199.4
1000,10000,10,mongodb,query4,0.1082,199.4
1000,10000,10,neo4j,load,2.9552,199.3
1000,10000,10,neo4j,query1,0.013,199.3
1000,10000,10,neo4j,query2,0.012,199.3
1000,10000,10,spark_doc,query2,0.3875,199.49
1000,10000,10,spark_graph,pagerank,4.1506,199.34
